trial_n,guess_dir,guess_es,real,correct,samples,n_obs,violin,boxplot,points,barplot,trinary,one_two,accumulate,meanse
1,B>A,0.2,0,FALSE,57,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2,A=B,0,0,TRUE,42,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
3,B>A,0.5,0,FALSE,48,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
4,A=B,0,0,TRUE,46,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
5,A=B,0,0,TRUE,65,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
6,A>B,-0.2,0,FALSE,28,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
7,A=B,0,0,TRUE,23,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
8,A=B,0,0.8,FALSE,16,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
9,B>A,0.5,0.8,TRUE,15,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
10,B>A,0.2,0.5,TRUE,17,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
11,B>A,0.2,0,FALSE,23,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
12,B>A,0.8,0.8,TRUE,19,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
13,A>B,-0.2,0,FALSE,27,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
14,A>B,-0.5,0,FALSE,16,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
15,A=B,0,0.2,FALSE,18,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
16,A=B,0,0,TRUE,24,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
17,A=B,0,0,TRUE,45,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
18,B>A,0.2,0.8,TRUE,27,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
19,A>B,-0.2,0,FALSE,23,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
20,A=B,0,0,TRUE,34,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
